タイトル,内容,タグ
体育の授業って、運動苦手な人はどう楽しめばいいの？,どんな人でも楽しめる体育の授業の実現,スポーツ・教育・インクルーシブ
世界で活躍するサッカー選手って、どうやって育てられるの？,将来日本を代表するサッカー選手を輩出するシステムの構築,スポーツ・育成・国際
スポーツのケガって減らせるの？,スポーツにおける怪我を防ぐための取り組み,スポーツ・健康・予防
なんで最近、部活やる人が減ってるんだろう？,スポーツ人口の増加を目指す施策,スポーツ・若者・社会
そもそも地球温暖化って私たちの生活にどう関係しているの？,地球温暖化が農業に与える影響とその対策,環境・気候変動・農業
二酸化炭素出さずに電気って作れるの？,二酸化炭素排出ゼロを目指す発電方法の研究,環境・エネルギー・再生可能
夜、星が見えにくいのってなんで？,光害の影響とその解決策,環境・光害・都市
川や海が汚れると、どんな生き物に影響が出るの？,自然災害を減らすための防止策の開発,環境・水質・災害
健康って、食べ物とどのくらい関係あるんだろう？,地域の健康問題を食文化で解決する方法,地域・健康・食
地元の人って、自分の町をどう思ってるの？,地域資源を活用した観光地や施設の活性化,地域・観光・住民
地域の自然を守るために自分にできることってある？,地域の水資源を保護し、生態系を豊かにする方法,地域・環境・生態系
農家さんってどんな悩み抱えているんだろう？,食品ロスを減らすための農業改革,農業・食品ロス・持続可能性
なんでまだ食べられるのに捨てる食品があるの？,食品の不必要な部分から新たな素材を作る技術開発,食品・廃棄・技術
若い人が地元の名産に興味持たないのってなんで？,地域特産物を普及させるための取り組み,地域・名産・若者
「昆虫食」ってほんとに未来の食べ物になるの？,昆虫食を普及させるための技術と社会的受け入れの研究,未来食・昆虫食・技術
カメムシが光に集まるのってなんで？,生物の行動パターンに基づくテクノロジーの応用,生物・行動・テクノロジー
音楽聞いてるときって、なんで集中できることあるの？,音楽や音響が人間の集中力に与える影響の研究,音楽・集中力・科学
自分の身体能力って道具でどれだけ伸びる？,体調やパフォーマンス向上を目的とした技術の研究,身体・道具・パフォーマンス
「これあったら便利なのに」って思ったこと、どうやったら形にできるんだろう？,3Dプリントを使った新しい製品開発,アイデア・製品開発・3Dプリント
目が見えない人って、普段どんなことで困ってるの？,高齢者や障害者向けの新しい体験提供サービスの開発,福祉・障害者・支援
教育が受けられない子どもって、どんな毎日を送ってるの？,教育を受けられない子どもたちへの支援,教育・子ども・支援
行動力って、どうすれば身につくんだろう？,高校生の行動力を高めるための教育システムの構築,教育・行動力・成長
食べず嫌いって克服できるの？どうやったらチャレンジしやすくなる？,偏食や食べず嫌いを減らすための支援策,食育・心理・支援
スマホでスキマ時間に勉強って、ちゃんと効果あるの？,忙しい現代人向けの簡単に学びを得られるアプリの開発,学習・スマホ・アプリ
忙しい社会人ってどうやって健康管理してるの？,健康に気を使う50代以上の人々へのサポート,健康・社会人・支援
「ストレスがない社会」って本当に実現できるの？,ストレスの少ない社会を実現するための方法,ストレス・社会・対策
空き家って、なんで増え続けてるの？,空き家問題の解決方法,空き家・住宅・社会問題
外国人が日本で不安を感じる瞬間ってどんな時？,外国人が安心して暮らせる社会作り,多文化共生・移民・支援
火事が起きやすい場所や状況って？,火災や事故を防止するための予防策,防災・火災・安全
ネットで騙される人ってどうして気づかないんだろう？,インターネット詐欺被害を減らすための対策,詐欺・ネット・リテラシー
アニメの中に入れたら、どんな体験ができるんだろ？,自分が好きなキャラクターの世界に入れるような体験の提供,アニメ・体験・エンタメ
日本でF1ってなんでマイナーなの？,日本のスポーツやイベントの知名度向上,スポーツ・モータースポーツ・プロモーション
音楽って人を元気にする力あるの？,音楽やエンタメが持つポテンシャルを活用した社会貢献,音楽・元気・社会貢献
観光地って、どうやったらもっと人が来たくなるんだろう？,観光業や旅行産業の活性化,観光・経済・地域振興
お金を持ってる人たちが「体験したい！」って思うサービスって？,富裕層をターゲットにしたサービスの開発,富裕層・体験・ビジネス
